tweet_id_str,tweet_classification
962905959382355000,None
962906137149362000,HarmfulPractices
962906444470325000,HarmfulPractices
962906564964311000,None
962906919294742000,HarmfulPractices
962906985048850000,HarmfulPractices
962907353589825000,None
962907385823158000,HarmfulPractices
962907425677258000,HarmfulPractices
962907697589846000,HarmfulPractices
962908322235080000,None
962908553077018000,None
962908754747502000,None
962908786116759000,HarmfulPractices
962909072847753000,None
962909458517995000,HarmfulPractices
962909940250759000,HarmfulPractices
962910176507408000,HarmfulPractices
962910447111348000,None
962910511603036000,None
962910653466988000,None
962911433229991000,None
962911462208532000,HarmfulPractices
962911620233089000,None
962911766186360000,HarmfulPractices
962911998597099000,None
962912005429612000,HarmfulPractices
962912121829969000,None
962912146156933000,HarmfulPractices
962912294635233000,HarmfulPractices
962912360116584000,HarmfulPractices
962912461333712000,None
962912694830542000,None
962913066726952000,None
962913131713433000,None
962913352048459000,HarmfulPractices
962913472798392000,HarmfulPractices
962913629447180000,None
962913659503697000,HarmfulPractices
962913708723843000,None
962914301035143000,HarmfulPractices
962914343267459000,None
962914838023430000,None
962915259416764000,HarmfulPractices
962916699023568000,HarmfulPractices
962916769961689000,HarmfulPractices
962916839855738000,HarmfulPractices
962917329599283000,HarmfulPractices
962917961118965000,HarmfulPractices
962918027502276000,HarmfulPractices
962918472803016000,HarmfulPractices
962919142662787000,HarmfulPractices
962919417221976000,HarmfulPractices
962919444065419000,None
962919490555179000,HarmfulPractices
962919878083645000,None
962920140697415000,None
962920363842777000,HarmfulPractices
962920468645859000,None
962920493853564000,None
962920656588431000,None
962920934758694000,None
962921062278234000,None
962921200501575000,None
962921397801574000,HarmfulPractices
962921514713731000,HarmfulPractices
962921637682098000,None
962921731286429000,HarmfulPractices
962921794872242000,None
962921805336928000,HarmfulPractices
962921887494963000,None
962922019166851000,HarmfulPractices
962922572424908000,None
962923261230120000,None
962923373356638000,None
962923627430666000,HarmfulPractices
962923744896303000,None
962923807131529000,None
962923917517172000,HarmfulPractices
962924101609259000,HarmfulPractices
962924365733130000,None
962924409550921000,None
962924636106190000,HarmfulPractices
962925174600249000,HarmfulPractices
962925177486094000,None
962925281345388000,None
962925721353179000,HarmfulPractices
962925754056093000,None
962925911472406000,None
962926607915679000,HarmfulPractices
962926655940517000,HarmfulPractices
962926716594409000,None
962926801323401000,HarmfulPractices
962926926410145000,None
962927305956868000,None
962927787219841000,HarmfulPractices
962927955415654000,None
962928114853703000,HarmfulPractices
962928453170315000,None
963268396333768000,HarmfulPractices
963269223433756000,None
963269445526339000,None
963270901126049000,None
963271049000472000,HarmfulPractices
963271153195388000,HarmfulPractices
963271202201587000,HarmfulPractices
963271269494878000,HarmfulPractices
963271422591119000,HarmfulPractices
963271862448021000,HarmfulPractices
963272003397541000,HarmfulPractices
963272016022441000,HarmfulPractices
963272659852128000,HarmfulPractices
963272814273925000,None
963273661422755000,None
963274213003091000,HarmfulPractices
963274479500775000,None
963274483627937000,HarmfulPractices
963274554905956000,None
963275333020524000,HarmfulPractices
963275565246615000,HarmfulPractices
963275781513326000,None
963276106240577000,HarmfulPractices
