tweet_id_str,tweet_classification
962908546202525000,None
962908588967538000,None
962909233434968000,Other
962909393061806000,None
962911911481397000,None
962911980775383000,Other
962914972580962000,Other
962915567828127000,None
962916756665847000,Other
962917529692782000,Other
962918444940357000,None
962918809047838000,Other
962919031966584000,None
962919043433926000,None
962919366508601000,None
962920338823643000,Other
962921273826291000,Other
962921503863042000,Other
962928567255535000,Other
963271167187578000,Other
963272733294518000,Other
963273460171530000,Other
963281635025317000,Other
963283169721176000,Other
963288135718318000,Other
963290135654780000,None
963290286204989000,None
963290329469218000,None
963290407248515000,None
963290584189456000,Other
963290984732819000,Other
963291135752851000,None
963291159282925000,Other
963291298835894000,Other
963291923271356000,None
963292054603395000,None
963292101499908000,Other
963292235885248000,None
963292418811617000,None
963292519055405000,Other
963292746894233000,Other
963292939265785000,Other
963293372852162000,None
963293574971375000,None
963293994317856000,Other
963294484346875000,None
963064651788435000,Other
963064805446832000,Other
963065197350080000,Other
963068428771733000,None
963068587496927000,None
963069555475189000,Other
963070357249851000,None
963070988324933000,None
963071195712229000,None
963073115822714000,Other
963077851657441000,None
963077986915405000,Other
963078081966690000,None
963102107262840000,Other
963102481063596000,Other
963102666057535000,Other
963102692313886000,Other
963102699628695000,None
963102740133089000,Other
963103001970868000,None
963103230782771000,None
963103411691540000,Other
963103772011409000,None
963103856593920000,None
963104043026538000,None
963104141496209000,None
963104143308152000,None
963104202867212000,None
963104295804719000,None
963105465679974000,Other
963106369237929000,None
963106880536051000,None
963107237194551000,Other
963107645954588000,None
963108023676829000,Other
963108091691749000,None
963108101716168000,None
963108567870996000,None
963514622908170000,None
963514923165847000,Other
963515024542130000,Other
963515135192166000,None
963518140658233000,Other
963518244463181000,Other
963523436378312000,Other
963524712834875000,Other
963525544221458000,None
963525553902030000,Other
963525900607291000,Other
963526222616567000,None
963526239079235000,None
963526774918393000,None
963526852819091000,None
963527151885737000,None
963527204088045000,Other
963527276540375000,None
963527420191166000,None
963527473282584000,Other
963527689222131000,None
963528198247141000,None
963528494738231000,Other
963528510441537000,None
963528603534331000,None
963528836544647000,None
963529250199482000,None
963530577688383000,None
963530750795636000,Other
963530781514764000,None
963531188618047000,None
963541066136805000,None
963541492856799000,Other
963541716426018000,Other
963541880586866000,None
963542115807584000,None
963543169903353000,Other
963543333908836000,Other
963544502182006000,Other
963544697057656000,None
963545812302270000,None
963545822171467000,Other
963545823316504000,Other
963546081278746000,None
963546584439926000,Other
963547082366836000,None
963547421627297000,None
963547441516679000,None
963547651835867000,None
963547963174858000,Other
963548590089162000,Other
963548648616456000,None
963548840803622000,None
963549639801745000,Other
963549701797761000,Other
963549864939393000,None
963549883297878000,None
963554717522677000,Other
963560613598433000,None
963561009368756000,None
963561106248818000,None
963561233311059000,Other
963562225708470000,None
963562244536700000,None
963562721743577000,None
963562864614236000,None
963562922810249000,Other
963562994926956000,None
963563081631784000,None
963564316418027000,None
963564428917661000,Other
963564823647698000,None
963565236857978000,None
963565450930962000,None
963565644343111000,None
963566104692981000,Other
963566156832497000,None
963567039142137000,None
963567124798042000,None
963567266263715000,Other
963567394399621000,None
963567639594385000,None
963567844024725000,Other
963568156223602000,None
963568496318672000,None
963568655077396000,None
963568809654276000,None
963568929388965000,None
963568963182612000,Other
963569095844261000,None
963570305154207000,None
963570470015598000,Other
963570679647035000,None
963570724563767000,None
963570740208504000,None
963570790762360000,None
963571230501584000,Other
963571831843229000,None
963573251711623000,None
963573446952280000,None
963573666075246000,None
963573802344026000,Other
963574118095491000,None
963574207367049000,None
963574466180796000,None
963574800022056000,None
963575394883469000,Other
963575566212452000,Other
963575673544761000,None
963578018265534000,None
963578060737048000,None
963578199488847000,Other
963578520122175000,None
963578541999775000,Other
