tweet_created_at,tweet_id_str,tweet_source,tweet_in_reply_to_status_id,tweet_in_reply_to_status_id_str,tweet_in_reply_to_user_id,tweet_in_reply_to_user_id_str,tweet_in_reply_to_screen_name,tweet_place_name,tweet_place_full_name,tweet_place_country_code,tweet_place_country,tweet_is_quote_status,tweet_retweet_count,tweet_favorite_count,tweet_favorited,tweet_retweeted,tweet_possibly_sensitive,tweet_lang,tweet_truncated,tweet_quoted_status_id_str,user_id_str,user_name,user_screen_name,user_location,user_profile_location,user_description,user_url,user_entities,user_protected,user_followers_count,user_friends_count,user_listed_count,user_created_at,user_favorites_count,user_utc_offset,user_time_zone,user_geo_enabled,user_verified,user_statuses_count,user_lang,user_contributers_enabled,user_profile_image_url,user_default_profile,user_follow_request_sent,text_text,text_hashtags_count,text_symbols_count,text_user_mentions_count,text_urls_count,text_media_count
Mon Feb 12 04:37:42 +0000 2018,962908546202525000,TweetDeck,,,,,,,,,,FALSE,0,0,FALSE,FALSE,FALSE,en,TRUE,,1133998249,NTV News,NTVnewsroom,Nairobi,,Breaking news & live updates from the @ntvkenya Digital team,http://ntv.nation.co.ke,,FALSE,71050,404,111,Wed Jan 30 12:50:37 +0000 2013,,10800,Minsk,TRUE,TRUE,128104,en,,http://pbs.twimg.com/profile_images/752843024485449728/dzuP_R0w_normal.jpg,FALSE,,Dr. Shem Ochuodho: You cannot say that 50% of voters did not vote. Were there no voters in Farahâ€™s home constituency? This is a Luo problem. I did not for example see Somalis protesting. This is why even the in â€˜swearing inâ€™ Kalonzo disappeared leaving it be ODM affair #AMLiveNTV https://t.co/esTFdXJhky,1,0,0,0,1
Mon Feb 12 04:37:52 +0000 2018,962908588967538000,Twitter for iPhone,,,,,,Sparks,"Sparks, NV",US,United States,TRUE,0,0,FALSE,FALSE,FALSE,en,TRUE,9.63E+17,40287046,Chris Murray,MurrayRGJ,Once lived in Gardnerville,,Reno Gazette-Journal's Nevada Wolf Pack beat writer/columnist ... I'm calling the cops ... From a tree house ... Bring me back something French.,http://www.rgj.com/staff/12443/chris-murray/,,FALSE,4998,54,243,Fri May 15 17:25:22 +0000 2009,,-28800,Pacific Time (US & Canada),TRUE,TRUE,57747,en,,http://pbs.twimg.com/profile_images/741314541611409408/zb2l44hb_normal.jpg,FALSE,,Coach Miller did an excellent job with Nevadaâ€™s line last season. That would make two openings on the Wolf Packâ€™s staff (safeties job is also open). https://t.co/e7iHxZS0uE,0,1,0,0,0
Mon Feb 12 04:40:25 +0000 2018,962909233434968000,Twitter for iPhone,9.63E+17,9.63E+17,9300262,9300262,politico,Pukalani,"Pukalani, HI",US,United States,FALSE,0,0,FALSE,FALSE,,en,FALSE,,49551962,Il Volo Maui,RickiAdoroIV,MauiSNE_COMMA Hawaii,,Retired Mom and Tutu...Il Volo Fanatic,,,FALSE,1387,2123,143,Mon Jun 22 05:58:11 +0000 2009,,-36000,Hawaii,TRUE,FALSE,133498,en,,http://pbs.twimg.com/profile_images/724399525683548160/FcqTioOQ_normal.jpg,FALSE,,@politico @POLITICOMag Officially DONE with this misogynistic bullshit. Unfollowed.,0,0,2,0,0
Mon Feb 12 04:41:03 +0000 2018,962909393061806000,Twitter Web Client,,,,,,,,,,FALSE,0,0,FALSE,FALSE,FALSE,en,TRUE,,106787582,SoundOFF,SoundOFF13,Des Moines,,SoundOFF is Iowa's most popular sports and pop culture show. @SoundOFF13 is your twitter home for sharing interesting local stories and opinions.,https://m.facebook.com/SoundOFFWHO/,,FALSE,15407,1100,139,Wed Jan 20 17:59:22 +0000 2010,,-21600,Central Time (US & Canada),TRUE,TRUE,16481,en,,http://pbs.twimg.com/profile_images/907035655154176000/G6PKZ0b0_normal.jpg,FALSE,,In this week's Murphy's LawSNE_COMMA @murphykeith says Iowa State is flattered by the recruiting shade thrown by Texas #Longhorns coachSNE_COMMA who as a former offensive coordinator for the #CyclonesSNE_COMMA should know full well where he is and where Matt Campbell is. SNE_LFAll thatSNE_COMMA and sausage. https://t.co/UIZ0TJ59E9,2,0,1,0,1
Mon Feb 12 04:51:04 +0000 2018,962911911481397000,Twitter for Android,,,,,,Indiana,"Indiana, USA",US,United States,FALSE,0,0,FALSE,FALSE,,en,TRUE,,725974999,JeremyKramer#radicalized,airjer54,corn field Indiana somewhere,,Chicago ÃŸearsSNE_COMMA IUSNE_COMMA St.Louis cardinalsSNE_COMMA pacersSNE_COMMA pittsburgh penguins fanSNE_COMMA #BarFly (~}; SNE_COMMA I'm all for common sense! it's a hell of a concept!,http://bearsbarroom.com,,FALSE,1234,1875,29,Mon Jul 30 12:33:15 +0000 2012,,,,TRUE,FALSE,27447,en,,http://pbs.twimg.com/profile_images/957517483505868800/GFy55XL4_normal.jpg,TRUE,,Someone has someone's ears and minds and is just cranking the truth at them.... and they just keep trolling....and trolling...and trolling. Blue checkmark and all. It's ok we'll give you content.,0,0,0,0,0
Mon Feb 12 04:51:20 +0000 2018,962911980775383000,Twitter for iPhone,,,,,,Quezon City,"Quezon City, National Capital Region",PH,Republic of the Philippines,FALSE,0,0,FALSE,FALSE,,en,FALSE,,299475753,Stanyu Yuzuru,gacelline,ManilaSNE_COMMA Philippines,,Visual Artist,http://gacelline.tumblr.com,,FALSE,992,921,8,Mon May 16 04:39:50 +0000 2011,,28800,Hong Kong,TRUE,FALSE,63140,en,,http://pbs.twimg.com/profile_images/962698034596405249/0yEnx6ST_normal.jpg,FALSE,,Women not being able to do quads isnâ€™t a sexist thing. Boobs and hips are just heavier lmao,0,0,0,0,0
Mon Feb 12 05:03:14 +0000 2018,962914972580962000,Twitter for Android,9.63E+17,9.63E+17,476256944,476256944,SenFeinstein,Florida,"Florida, USA",US,United States,FALSE,0,0,FALSE,FALSE,,en,TRUE,,3036508434,Sofie's Mom,SofiesMom2,IowaSNE_COMMA USA,,Conservative believes in constitution & protection of our country's safety & freedom.  MarriedSNE_COMMA motherSNE_COMMA grandmother. NRA.   MAGA.  Follow & I follow back.,,,FALSE,2395,3302,11,Sun Feb 22 14:18:50 +0000 2015,,,,TRUE,FALSE,5652,en,,http://pbs.twimg.com/profile_images/955640472126545920/0PgvJKa6_normal.jpg,TRUE,,@SenFeinstein You dimbulb.  No one is stealing anything.  AlsoSNE_COMMA you should be helping and encouraging women to reach beyond a lifetime goal of serverSNE_COMMA not trying to keep them there.  You are sexistSNE_COMMA and you have no interest in help,0,0,1,0,0
Mon Feb 12 05:05:36 +0000 2018,962915567828127000,Twitter Web Client,,,,,,,,,,FALSE,0,0,FALSE,FALSE,FALSE,en,TRUE,,87095316,Dennis Mersereau,wxdam,North Carolina,,I control the weather. Bad political opinions. I've talked storms for @gawkerSNE_COMMA @mental_flossSNE_COMMA @PopSciSNE_COMMA @forbesSNE_COMMA @capitalweather. Hire me: dennismwx@gmail.com,http://www.damweather.com/p/bylines.html,,FALSE,8104,3892,469,Tue Nov 03 03:04:39 +0000 2009,,-18000,Eastern Time (US & Canada),FALSE,TRUE,36302,en,,http://pbs.twimg.com/profile_images/939635022004289536/bzm7_VxI_normal.jpg,FALSE,,I've been Mad Online beforeSNE_COMMA but I've never been SNE_QUOTEpick up your trolling message five months after you left offSNE_QUOTE level of Mad. https://t.co/HvpoCdihKu,0,0,0,0,1
Mon Feb 12 05:10:19 +0000 2018,962916756665847000,Twitter for Android,9.63E+17,9.63E+17,331457964,331457964,plumenom,Mebane,"Mebane, NC",US,United States,FALSE,0,0,FALSE,FALSE,,en,TRUE,,1223416844,Corey Trimpey ï¿½,CoreyTrimpey,North CarolinaSNE_COMMA USA,,Racing enthusiast.ï¿½ Father.ï¿½Husband. ï¿½Steelers Fanï¿½,,,FALSE,196,817,12,Wed Feb 27 02:10:02 +0000 2013,,-14400,Atlantic Time (Canada),TRUE,FALSE,3069,en,,http://pbs.twimg.com/profile_images/828623636479242241/ZhdC8Xy-_normal.jpg,FALSE,,@plumenom Im typically not glued to Twitter and didnt notice. Not intentional despite it looking like cherry picking. After looking deeper I realize was incorrect BUT that was not what I chose to defend. The sexist comment was unnecessary and distasteful.,0,0,1,0,0
Mon Feb 12 05:13:23 +0000 2018,962917529692782000,Twitter for iPhone,,,,,,Seattle,"Seattle, WA",US,United States,FALSE,0,0,FALSE,FALSE,FALSE,en,TRUE,,3309139560,Pá´€á´›Ê€Éªá´„á´‹ Ká´€Ê€ÊŸssá´É´ â›ˆ,Patrickesque,WashingtonSNE_COMMA USA,,Into politicsSNE_COMMA pop culture & science. I'm a navy brat from southern California now living in the PNW. #FuckCancer,,,FALSE,7254,6004,192,Sat Aug 08 01:21:10 +0000 2015,,-28800,Pacific Time (US & Canada),TRUE,FALSE,127885,en,,http://pbs.twimg.com/profile_images/958910848986042369/sSDY5lL5_normal.jpg,TRUE,,If you use your gigantic platform to make sexist attacks against Hillary ClintonSNE_COMMA Iâ€™m going to clown the shit out of you https://t.co/L2VesvtsuM,0,0,0,0,1
