tweet_id_str,tweet_classification
962906335791714000,PhysicalAbuse
962906549546110000,None
962906586569097000,PhysicalAbuse
962906726143004000,None
962906730278481000,None
962906784187924000,PhysicalAbuse
962906835132014000,None
962906928438480000,None
962906927897436000,PhysicalAbuse
962906969173524000,PhysicalAbuse
962907065587924000,PhysicalAbuse
962907111628922000,PhysicalAbuse
962907216994078000,PhysicalAbuse
962907219540041000,PhysicalAbuse
962907269833764000,PhysicalAbuse
962907354147819000,PhysicalAbuse
962907361399726000,PhysicalAbuse
962907373940682000,None
962907405985177000,None
962907626567815000,None
962907693798354000,None
962907753835581000,None
962907770067406000,PhysicalAbuse
962907837432258000,PhysicalAbuse
962907852967960000,PhysicalAbuse
962907910475939000,PhysicalAbuse
962907913869316000,None
962907971549360000,PhysicalAbuse
962908029610901000,None
962908145801617000,PhysicalAbuse
962908145956696000,PhysicalAbuse
962908192622624000,PhysicalAbuse
962908346994118000,None
962908372763795000,PhysicalAbuse
962908419962191000,PhysicalAbuse
962908541710462000,None
962908566725242000,None
962908819440459000,None
962908920317726000,PhysicalAbuse
962908922205097000,PhysicalAbuse
962908955637788000,None
962909074068303000,PhysicalAbuse
962909080976113000,PhysicalAbuse
962909082435969000,None
962909096302260000,PhysicalAbuse
962909104011276000,PhysicalAbuse
962909110424539000,PhysicalAbuse
962909190632235000,None
962909275378077000,None
962909354151239000,None
962909423911030000,None
962909466478989000,PhysicalAbuse
962909540923641000,None
962909593163706000,PhysicalAbuse
962909603876007000,PhysicalAbuse
962909764253507000,PhysicalAbuse
962909786432942000,None
962909822084673000,PhysicalAbuse
962909845400690000,None
962909847204257000,None
962909906004148000,None
962909956574871000,None
962910041954070000,PhysicalAbuse
962910209210503000,PhysicalAbuse
962910273953677000,PhysicalAbuse
962910347555409000,None
962910351284146000,PhysicalAbuse
962910418866974000,None
962910426928504000,PhysicalAbuse
962910576266694000,None
962910590397308000,PhysicalAbuse
962910611997908000,None
962910764443959000,None
962910858752950000,None
962910900641456000,PhysicalAbuse
962911137523290000,PhysicalAbuse
962911239289671000,PhysicalAbuse
962911241130926000,PhysicalAbuse
962911263763267000,PhysicalAbuse
962911294037942000,PhysicalAbuse
962911299419156000,None
962911304875786000,None
962911377210953000,None
962911436174450000,None
962911520874254000,None
962911527991988000,PhysicalAbuse
962911547193470000,None
962911618777706000,PhysicalAbuse
962911631830286000,PhysicalAbuse
962911769998979000,None
962911836084486000,PhysicalAbuse
962911863477620000,None
962912294635233000,PhysicalAbuse
962912398469365000,PhysicalAbuse
962912412604272000,None
962912669870170000,None
962912726849937000,None
962912728368103000,None
962912764808368000,PhysicalAbuse
962912776665608000,PhysicalAbuse
962912934669225000,None
962912996212330000,None
962913064256507000,PhysicalAbuse
962913112050421000,PhysicalAbuse
962913174306672000,PhysicalAbuse
962913276345516000,Other
962913500178792000,None
962913546710519000,None
962913774599659000,PhysicalAbuse
962913808795754000,PhysicalAbuse
962913869755748000,None
962913888667951000,PhysicalAbuse
962913989733814000,None
962914053894131000,PhysicalAbuse
962914148173557000,None
962914193732132000,PhysicalAbuse
962914217513967000,PhysicalAbuse
962914323512295000,PhysicalAbuse
962914375945412000,PhysicalAbuse
962914479167197000,PhysicalAbuse
962914714119491000,None
962914777071841000,PhysicalAbuse
962914845204021000,PhysicalAbuse
962914915672616000,None
962914937478795000,PhysicalAbuse
962915052662788000,PhysicalAbuse
962915061873430000,PhysicalAbuse
962915332208836000,PhysicalAbuse
962915368821035000,PhysicalAbuse
962915404774498000,PhysicalAbuse
962915428686319000,PhysicalAbuse
962915463058599000,None
962915523859238000,PhysicalAbuse
962915547783548000,PhysicalAbuse
962915573746212000,None
962915606730289000,PhysicalAbuse
962915607417995000,Other
962915627232038000,None
962915634769219000,PhysicalAbuse
962915718248435000,None
962915773080420000,PhysicalAbuse
962915788175958000,None
962915807758925000,None
962915835420512000,PhysicalAbuse
962915875224522000,PhysicalAbuse
962916041486733000,None
962916086617378000,None
962916173691215000,None
962916327294980000,None
962916367224786000,PhysicalAbuse
962916573093793000,None
962916622125207000,None
962916774235820000,None
962916791558209000,None
962916831739686000,None
962916876761182000,PhysicalAbuse
962916882100707000,PhysicalAbuse
962916883015131000,None
962916951122038000,PhysicalAbuse
962917029052338000,None
962917119611432000,PhysicalAbuse
962917122249805000,PhysicalAbuse
962917180516990000,None
962917215199666000,None
962917428115202000,PhysicalAbuse
962917434972889000,None
962917432846364000,PhysicalAbuse
962917461602443000,None
962917482691358000,PhysicalAbuse
