tweet_id_str,tweet_classification
962907317376376000,SexualAbuse
962907387530285000,PhysicalAbuse
962907647325372000,None
962907797775151000,None
962908016910708000,None
962908298214346000,None
962908312609153000,SexualAbuse
962909668895997000,None
962909700189769000,SexualAbuse
962909725686812000,None
962909726853029000,PhysicalAbuse
962909960878243000,SexualAbuse
962910179128786000,None
962910225123586000,None
962910619136479000,SexualAbuse
962910660160925000,SexualAbuse
962910946799898000,SexualAbuse
962911144620052000,None
962911556366426000,SexualAbuse
962911643096223000,SexualAbuse
962912157124964000,None
962912718234705000,None
962912918491693000,PhysicalAbuse
962913081595588000,None
962913242514317000,None
962913296054669000,SexualAbuse
962913457568968000,None
962913655955382000,None
962913664541118000,SexualAbuse
962913723294785000,None
962913826952896000,None
962914159296905000,SexualAbuse
962914185288892000,SexualAbuse
962914559504846000,SexualAbuse
962915437880033000,None
962915875224522000,SexualAbuse
962915884477140000,None
962916085988249000,SexualAbuse
962916167793823000,SexualAbuse
962916494727360000,PhysicalAbuse
962916675883499000,None
962917338789036000,None
962917386935504000,PhysicalAbuse
962917807066292000,SexualAbuse
962918403550965000,SexualAbuse
962918693515808000,None
962918856330129000,None
962919192876933000,PhysicalAbuse
962919383596113000,SexualAbuse
962919385882017000,None
962919798417100000,None
962920646576672000,SexualAbuse
962921065742852000,SexualAbuse
962921367183282000,None
962921734096736000,SexualAbuse
962921771795189000,None
962921999411671000,SexualAbuse
962922228454215000,SexualAbuse
962922865745113000,SexualAbuse
962922932413648000,SexualAbuse
962922980627054000,SexualAbuse
962924595266416000,None
962924753609678000,None
962924755249659000,SexualAbuse
962924846190678000,SexualAbuse
962924864314122000,None
962925098154934000,SexualAbuse
962925293781561000,SexualAbuse
962925381173981000,None
962925484437680000,None
962925660040716000,PhysicalAbuse
962925839389163000,None
962926302645829000,None
962926338305753000,PhysicalAbuse
962926629575102000,None
962927514472427000,None
962927689144258000,SexualAbuse
962927751928991000,SexualAbuse
962928036151640000,SexualAbuse
962928165223006000,None
962928277668220000,None
962933037054025000,None
962933067081043000,None
962933353124192000,SexualAbuse
962933609836437000,None
962933806188584000,None
962933932189798000,None
962934308053897000,SexualAbuse
962934355525079000,SexualAbuse
962934541483638000,None
962935186525769000,SexualAbuse
962935324585336000,None
962935452394184000,SexualAbuse
962935641817387000,None
962936809566232000,None
962936865677594000,None
962937312832315000,SexualAbuse
962937563785789000,None
962938067567878000,None
962938327195443000,None
962938342680784000,SexualAbuse
962938430048100000,None
962938812614627000,SexualAbuse
962939597595521000,SexualAbuse
962939825534963000,SexualAbuse
962940353648218000,SexualAbuse
962932158926012000,PhysicalAbuse
962932561545711000,SexualAbuse
963250124045496000,SexualAbuse
963250193012584000,SexualAbuse
963250370637189000,SexualAbuse
963251006829154000,PhysicalAbuse
963251268616536000,SexualAbuse
963252675159638000,SexualAbuse
963085079361835000,PhysicalAbuse
963085149679247000,SexualAbuse
963085779940540000,None
963086187660488000,SexualAbuse
963086222070571000,SexualAbuse
963086750854930000,SexualAbuse
963086812095926000,SexualAbuse
963086955801186000,SexualAbuse
963087343816069000,None
963087809157390000,SexualAbuse
963087874978611000,SexualAbuse
963088056252227000,PhysicalAbuse
963088757971922000,SexualAbuse
963089063866720000,SexualAbuse
963089744925200000,SexualAbuse
963090331175669000,SexualAbuse
963090571924529000,SexualAbuse
963090791827722000,SexualAbuse
963090846823469000,SexualAbuse
963091112503083000,SexualAbuse
963091641673437000,SexualAbuse
963091775148748000,None
963091960444616000,SexualAbuse
963092152468328000,SexualAbuse
963092170449268000,SexualAbuse
963092333913890000,SexualAbuse
963092604358352000,SexualAbuse
963473985949323000,SexualAbuse
963474311561596000,SexualAbuse
963474547440746000,SexualAbuse
963474603317264000,SexualAbuse
963474848071782000,PhysicalAbuse
963474886067937000,SexualAbuse
963474897371615000,SexualAbuse
963475136891453000,SexualAbuse
963475357801201000,SexualAbuse
963475367922053000,SexualAbuse
963475620054294000,SexualAbuse
963475810547109000,SexualAbuse
963476167943532000,SexualAbuse
963476554994061000,SexualAbuse
963476705305399000,SexualAbuse
963476759369932000,None
963476825094737000,SexualAbuse
963477681227608000,SexualAbuse
963477838027468000,PhysicalAbuse
963478421543120000,SexualAbuse
963478428824485000,SexualAbuse
963478620210630000,SexualAbuse
963478864860270000,SexualAbuse
963479258202038000,SexualAbuse
963479750898483000,SexualAbuse
963479945841467000,SexualAbuse
963480017849155000,SexualAbuse
963480054092173000,None
963480142956908000,SexualAbuse
963480163618041000,SexualAbuse
963480458309890000,SexualAbuse
963480482120740000,SexualAbuse
963480562446032000,None
963480628695130000,SexualAbuse
963480885021552000,SexualAbuse
963480929426489000,SexualAbuse
963481118346444000,SexualAbuse
963481120741486000,SexualAbuse
963481159240994000,SexualAbuse
963481287930667000,SexualAbuse
963481370659115000,SexualAbuse
963481439428861000,SexualAbuse
963481525843984000,SexualAbuse
963481684783050000,SexualAbuse
963481690726371000,SexualAbuse
963481846939037000,SexualAbuse
963482350935007000,SexualAbuse
963482472540528000,PhysicalAbuse
963482759267266000,SexualAbuse
963482914175569000,SexualAbuse
963483260805369000,SexualAbuse
963483413620588000,SexualAbuse
963483734199623000,SexualAbuse
963483806324969000,SexualAbuse
963484110814629000,PhysicalAbuse
963484222500589000,SexualAbuse
963484532673531000,SexualAbuse
963484624444850000,SexualAbuse
963484895044620000,SexualAbuse
963485439452688000,PhysicalAbuse
963485563755122000,SexualAbuse
963485964755709000,SexualAbuse
963486535575330000,SexualAbuse
963486611899068000,SexualAbuse
963487023431548000,SexualAbuse
963487200922030000,SexualAbuse
963487562185703000,SexualAbuse
963487956458553000,SexualAbuse
963488050520064000,SexualAbuse
963488072305381000,SexualAbuse
963488245882507000,PhysicalAbuse
963488376287526000,SexualAbuse
963488391680725000,PhysicalAbuse
963488472270032000,SexualAbuse
963488739577290000,SexualAbuse
963489210916274000,SexualAbuse
963489233272008000,SexualAbuse
963489235255906000,SexualAbuse
963489336187527000,SexualAbuse
963489461169373000,SexualAbuse
963489466517213000,PhysicalAbuse
963489485353709000,SexualAbuse
963489493360705000,SexualAbuse
963489642279526000,SexualAbuse
963489763222310000,SexualAbuse
963489766007296000,SexualAbuse
963489916880605000,SexualAbuse
963489941790560000,SexualAbuse
963490053635891000,SexualAbuse
963490080227643000,SexualAbuse
963490135340929000,SexualAbuse
963490383681515000,SexualAbuse
963490385736753000,SexualAbuse
963490431714676000,PhysicalAbuse
963490507589586000,SexualAbuse
963490513079947000,SexualAbuse
963490901950697000,SexualAbuse
963490962377932000,SexualAbuse
963490987220717000,SexualAbuse
963491720808812000,SexualAbuse
963491790807498000,SexualAbuse
963491982768263000,SexualAbuse
963491974736171000,PhysicalAbuse
963492161856659000,SexualAbuse
963492247856697000,SexualAbuse
963492456598851000,SexualAbuse
963492486030249000,SexualAbuse
963492668192964000,SexualAbuse
963492760228696000,SexualAbuse
963492770966048000,SexualAbuse
963492795058188000,SexualAbuse
963492988923142000,SexualAbuse
963492998393851000,SexualAbuse
963493667276169000,PhysicalAbuse
963494048249139000,SexualAbuse
963494817417318000,PhysicalAbuse
963495206967545000,SexualAbuse
963495366749573000,SexualAbuse
963495545854676000,PhysicalAbuse
963495572694097000,SexualAbuse
963495666336051000,SexualAbuse
963495686753878000,SexualAbuse
963495734820704000,PhysicalAbuse
963496070952247000,SexualAbuse
963496256118108000,SexualAbuse
963496475232792000,SexualAbuse
963496550436450000,PhysicalAbuse
963496749145907000,SexualAbuse
963496766422253000,SexualAbuse
963496786672406000,SexualAbuse
963498024512229000,PhysicalAbuse
963498168121024000,SexualAbuse
963499320220770000,SexualAbuse
963499340554735000,SexualAbuse
963499476303400000,SexualAbuse
963499579344850000,SexualAbuse
963499769007091000,SexualAbuse
963499771678941000,PhysicalAbuse
963500007155486000,SexualAbuse
963500530915008000,None
963500568533594000,SexualAbuse
963500550892466000,PhysicalAbuse
963500628071862000,None
963500775103193000,None
963500850076442000,SexualAbuse
963500937011695000,None
963501054490021000,None
963501082457632000,SexualAbuse
963501143765561000,SexualAbuse
963501295041642000,SexualAbuse
963501424763133000,None
963501508087119000,SexualAbuse
963501509035085000,None
963502260134252000,None
963502311908823000,SexualAbuse
963502484563087000,None
963502518327066000,SexualAbuse
963502796841435000,PhysicalAbuse
963502807792824000,SexualAbuse
963502985207844000,SexualAbuse
963503017508130000,PhysicalAbuse
963503040153055000,SexualAbuse
963503057630720000,PhysicalAbuse
963503100563787000,SexualAbuse
963503124081205000,None
963503144478085000,SexualAbuse
963503240087293000,SexualAbuse
963503254926708000,SexualAbuse
963503287050883000,PhysicalAbuse
963503292574720000,None
963503361940172000,SexualAbuse
963503396211904000,PhysicalAbuse
963503402394120000,None
963503539564638000,None
963503837331034000,PhysicalAbuse
963503875071365000,None
963503956575051000,PhysicalAbuse
963503966175879000,SexualAbuse
963504020781502000,PhysicalAbuse
963504119347601000,SexualAbuse
963504124007501000,SexualAbuse
963504158337851000,PhysicalAbuse
963504182954049000,None
963504212335366000,None
963504298628927000,SexualAbuse
963504375363702000,None
963504399120322000,None
963504410742706000,SexualAbuse
963504450982895000,PhysicalAbuse
963504483308265000,SexualAbuse
963504512626495000,PhysicalAbuse
963504535263162000,None
963504563230793000,PhysicalAbuse
963504571296501000,SexualAbuse
963504596844007000,None
963504611821834000,PhysicalAbuse
963504613323431000,SexualAbuse
963504620881498000,SexualAbuse
963504652515008000,None
963504655824191000,None
963504828558331000,None
963504923022450000,None
963504963929427000,PhysicalAbuse
963504994510163000,None
963505093638328000,None
963505243928571000,PhysicalAbuse
963505326887616000,SexualAbuse
963505436220682000,SexualAbuse
963505460161794000,PhysicalAbuse
963505483347718000,None
963505538553262000,PhysicalAbuse
963505697668218000,None
963505725023621000,PhysicalAbuse
963505751342944000,SexualAbuse
963506262120988000,None
963506278789074000,None
963506362092318000,SexualAbuse
963506517600223000,SexualAbuse
963506520884310000,None
963506702401359000,SexualAbuse
963506961542209000,None
963507023177449000,None
963544683984113000,PhysicalAbuse
963544822463324000,None
963544889882329000,SexualAbuse
963544898246008000,SexualAbuse
963545162524770000,SexualAbuse
963545318645121000,None
963545532466569000,None
963545719087955000,SexualAbuse
963545725018787000,None
963545742097858000,None
963545832204087000,SexualAbuse
963545897761234000,None
963546303673315000,SexualAbuse
963546357293375000,PhysicalAbuse
963546978989703000,None
963547076402536000,SexualAbuse
963547104676401000,SexualAbuse
963547104743448000,None
963547170757517000,None
963547176008732000,SexualAbuse
963547203858919000,None
963547516011720000,None
963547531354484000,None
963547630038016000,SexualAbuse
963547699210588000,None
963547794647662000,None
963547963174858000,SexualAbuse
963548192808738000,SexualAbuse
963548348950241000,SexualAbuse
963548359985434000,None
963548362900467000,None
963548362942418000,SexualAbuse
963548450536161000,PhysicalAbuse
963548495646023000,None
963548518068703000,None
963548550331338000,SexualAbuse
963548591548612000,SexualAbuse
963548625749073000,None
