tweet_created_at,tweet_id_str,tweet_source,tweet_in_reply_to_status_id,tweet_in_reply_to_status_id_str,tweet_in_reply_to_user_id,tweet_in_reply_to_user_id_str,tweet_in_reply_to_screen_name,tweet_place_name,tweet_place_full_name,tweet_place_country_code,tweet_place_country,tweet_is_quote_status,tweet_retweet_count,tweet_favorite_count,tweet_favorited,tweet_retweeted,tweet_possibly_sensitive,tweet_lang,tweet_truncated,tweet_quoted_status_id_str,user_id_str,user_name,user_screen_name,user_location,user_profile_location,user_description,user_url,user_entities,user_protected,user_followers_count,user_friends_count,user_listed_count,user_created_at,user_favorites_count,user_utc_offset,user_time_zone,user_geo_enabled,user_verified,user_statuses_count,user_lang,user_contributers_enabled,user_profile_image_url,user_default_profile,user_follow_request_sent,text_text,text_hashtags_count,text_symbols_count,text_user_mentions_count,text_urls_count,text_media_count
Mon Feb 12 04:32:49 +0000 2018,962907317376376000,Twitter Web Client,9.63E+17,9.63E+17,17980523,17980523,mitchellvii,Illinois,"Illinois, USA",US,United States,FALSE,0,0,FALSE,FALSE,,en,TRUE,,20699410,ï¿½Travis Hatfieldï¿½,t_hat1981,LincolnSNE_COMMA IL,,I'm an Anti-trumpSNE_COMMA pro-AmericaSNE_COMMA gay American nerd.,,,FALSE,711,1324,31,Thu Feb 12 18:13:49 +0000 2009,,-21600,Central Time (US & Canada),TRUE,FALSE,15455,en,,http://pbs.twimg.com/profile_images/945308123627220992/nTezjEnN_normal.jpg,FALSE,,@mitchellvii YouSNE_COMMA and people like youSNE_COMMA are the reason rape victims wait to come outSNE_COMMA if they even come out at all. Pointing your finger at themSNE_COMMA making them seem less of a personSNE_COMMA more of a burden. Making them reliv,0,0,1,0,0
Mon Feb 12 04:33:05 +0000 2018,962907387530285000,SocialFlow,,,,,,,,,,FALSE,0,0,FALSE,FALSE,FALSE,en,TRUE,,15535860,#NBC7 San Diego,nbcsandiego,San DiegoSNE_COMMA CA,,Breaking newsSNE_COMMA exclusive storiesSNE_COMMA weather & conversation.,http://www.NBC7.com,,FALSE,230256,4372,2716,Tue Jul 22 19:34:30 +0000 2008,,-28800,Pacific Time (US & Canada),TRUE,TRUE,142794,en,,http://pbs.twimg.com/profile_images/954135120188862464/2entaN4O_normal.jpg,FALSE,,49ers' Reuben Foster has been arrested on a domestic violence charge and was released on $75SNE_COMMA000 bail. https://t.co/U1nbPnGiHN https://t.co/eA9KfL2JEy,0,1,0,0,1
Mon Feb 12 04:34:07 +0000 2018,962907647325372000,IFTTT,,,,,,,,,,FALSE,0,0,FALSE,FALSE,FALSE,en,FALSE,,255866913,Harian Kompas,hariankompas,PalmerahSNE_COMMA Jakarta,,Amanat Hati Nurani Rakyat | Pendiri: PK Ojong dan Jakob Oetama | Soekarno Pemberi Nama Kompas | Terbit Sejak 28 Juni 1965,http://kompas.id,,FALSE,717115,179,1065,Tue Feb 22 05:45:38 +0000 2011,,25200,Jakarta,TRUE,TRUE,148356,en,,http://pbs.twimg.com/profile_images/811108773917900800/NBakimFs_normal.jpg,FALSE,,Thoroughly Probe Attack and Enforce Law. https://t.co/uJKcZmhBND,0,0,0,1,0
Mon Feb 12 04:34:43 +0000 2018,962907797775151000,Twitter for Android,9.63E+17,9.63E+17,52615210,52615210,MikeElk,Pittsburgh,"Pittsburgh, PA",US,United States,FALSE,0,0,FALSE,FALSE,,en,FALSE,,297763249,Oliver Lee Bateman ï¿½ï¿½ï¿½ï¿½,MoustacheClubUS,WashingtonSNE_COMMA PA,,@parisreviewSNE_COMMA @theatlanticSNE_COMMA @wearemelSNE_COMMA @pacificstand &c. repped by @inkwellmgmt. columns @splicetoday. legal @paydayreport. email: oliver.lee1@gmail.com,http://www.oliverbateman.com/bibliography/,,FALSE,7805,1477,84,Fri May 13 02:19:31 +0000 2011,,,,TRUE,TRUE,23192,en,,http://pbs.twimg.com/profile_images/932482465712754688/K8ywFJir_normal.jpg,FALSE,,@MikeElk @SpeakerRyan @ConorLambPA Some of these vague attack ads would be totally pointless if more positions were on the record,0,0,3,0,0
Mon Feb 12 04:35:35 +0000 2018,962908016910708000,TweetDeck,9.63E+17,9.63E+17,15567729,15567729,VictoriaDahl,,,,,FALSE,0,0,FALSE,FALSE,,en,TRUE,,17181849,Alyssa Day,Alyssa_Day,Opinions my own,,Alyssa Day NY Times  bestselling author of books with kissingSNE_COMMA laughterSNE_COMMA mysterySNE_COMMA and magic. IrishSNE_COMMA redheadSNE_COMMA Scorpio=Loyal friendSNE_COMMA fierce enemy. GoSNE_COMMA Buckeyes!,http://www.alyssaday.com,,FALSE,11750,374,464,Wed Nov 05 04:40:11 +0000 2008,,-18000,Eastern Time (US & Canada),FALSE,TRUE,42613,en,,http://pbs.twimg.com/profile_images/852612316243914759/nS7vUScX_normal.jpg,FALSE,,@VictoriaDahl I can't read if this is your real comment or sarcasm (?) but making sure attendees know there is a no-tolerance policy is in place is crucial + the no harassment policy.,0,0,1,0,0
Mon Feb 12 04:36:42 +0000 2018,962908298214346000,TweetDeck,,,,,,,,,,TRUE,0,0,FALSE,FALSE,FALSE,en,TRUE,9.63E+17,15922651,David Weiner,daweiner,Brooklyn,,Co-founderSNE_COMMA Gossamer. Last name pronounced like a penis.,http://gossamer.co,,FALSE,12131,1267,452,Wed Aug 20 20:26:01 +0000 2008,,-18000,Eastern Time (US & Canada),TRUE,TRUE,70406,en,,http://pbs.twimg.com/profile_images/433072176892092416/vBbCVD-r_normal.jpeg,FALSE,,This dude sucks so fucking much. His dumb fucking face makes my skin crawl. And is he wearing a bluetooth headset in his Twitter pic? https://t.co/IzFoN3zGqh,0,1,0,0,0
Mon Feb 12 04:36:46 +0000 2018,962908312609153000,Twibble.io,,,,,,,,,,FALSE,0,0,FALSE,FALSE,FALSE,en,FALSE,,24905550,WOKV News,WOKVNews,JacksonvilleSNE_COMMA FL,,Jacksonville's 24-hour NewsSNE_COMMA Weather and Traffic on FM 104.5 & AM 690.SNE_LFListen live: http://bit.ly/1EV7Ij1,http://www.wokv.com,,FALSE,14975,558,466,Tue Mar 17 16:16:58 +0000 2009,,-18000,Eastern Time (US & Canada),TRUE,TRUE,153577,en,,http://pbs.twimg.com/profile_images/900044894055608320/wOK9sa6x_normal.jpg,FALSE,,Teen victimSNE_COMMA witnessÂ in rape trial found dead https://t.co/Hx1lYQvAeq https://t.co/JPi1O7BgY0,0,0,0,1,1
Mon Feb 12 04:42:09 +0000 2018,962909668895997000,Twitter Web Client,9.63E+17,9.63E+17,7.27E+17,7.27E+17,Nitchel_Reborn,,,,,FALSE,0,0,FALSE,FALSE,,en,TRUE,,38029205,William LeGate,williamlegate,Los AngelesSNE_COMMA CA,,i make things â€¢ entrepreneur â€¢ programmer (studying artificial intelligence) â€¢ in the hands of 7.5 million ppl â€¢ '13 Thiel Fellow â€¢ blocked by the POTUS,https://www.addme.fun/legate,,FALSE,117392,2753,618,Tue May 05 21:46:23 +0000 2009,,-28800,Pacific Time (US & Canada),FALSE,TRUE,45356,en,,http://pbs.twimg.com/profile_images/941428672048877572/yIL0YWGA_normal.jpg,FALSE,,@Nitchel_Reborn Wanting to know everything about an investigation into an attack on our democracy is exactly what any decent president should do.,0,0,1,0,0
Mon Feb 12 04:42:17 +0000 2018,962909700189769000,Twitter Web Client,9.63E+17,9.63E+17,23645988,23645988,andylassner,,,,,FALSE,0,0,FALSE,FALSE,,en,TRUE,,880018682,David Weissman,davidmweissman,JerusalemSNE_COMMA Israel,,A Conservative American Jew and will be back in USA in April. US Army VetSNE_COMMA and #JewforTrump. Radio show host for the #WeissmanReport,http://therealside.com/author/dweissman/,,FALSE,43264,2789,248,Sun Oct 14 12:29:54 +0000 2012,,7200,Jerusalem,TRUE,TRUE,87764,en,,http://pbs.twimg.com/profile_images/962750801335681025/jUZBRqFP_normal.jpg,FALSE,,@andylassner On a serious noteSNE_COMMA his approach is wrongSNE_COMMA they don't know the damage being abused or rape can cause someone. When their offender comes into a position of powerSNE_COMMA maybe the victims feel obligated to speak out.,0,0,1,0,0
Mon Feb 12 04:42:23 +0000 2018,962909725686812000,Twitter for iPhone,9.63E+17,9.63E+17,23831682,23831682,ReaganGomez,,,,,FALSE,0,0,FALSE,FALSE,,en,TRUE,,23831682,Reagan Gomez,ReaganGomez,Make Gumbo or Die Trying,,Scarlett & Tyger's MomSNE_COMMA ActorSNE_COMMA Writer/Director of the #GothamAwards nominated ShortFilm #Surviving. My #PodcastSNE_COMMA #Reaganomics is on #itunes & #Soundcloud.,https://m.youtube.com/user/ReaganGomez,,FALSE,216019,2154,1908,Wed Mar 11 21:16:11 +0000 2009,,-28800,Pacific Time (US & Canada),FALSE,TRUE,309121,en,,http://pbs.twimg.com/profile_images/926222939749457920/7NCkAljd_normal.jpg,FALSE,,Iâ€™m even wanting to see more of Kevinâ€™s backstory. That pool scene when no one was even watching him...thatâ€™s a common theme w/ him. When Rebecca &amp; Jack were about to talk to him about sex &amp; Randall came down having a panic attack...,0,0,0,0,0
